ANNO;MES;TRIMESTRE;ID_EMPRESA;EMPRESA;OPERACIONES_PORTACION
2011;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;3
2013;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;55
2013;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;159
2013;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;272
2013;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;369
2013;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;486
2013;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;698
2013;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;974
2014;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;1329
2014;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;1739
2014;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;2233
2014;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;2808
2014;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;3390
2014;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;3892
2014;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;4584
2014;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;5219
2014;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;6025
2014;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;7024
2014;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;7717
2014;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;8600
2015;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;9555
2015;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;10610
2015;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;11817
2015;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;13104
2015;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;14448
2015;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;15916
2015;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;17660
2015;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;19188
2015;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;20973
2015;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;22818
2015;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;24526
2015;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;26461
2016;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;28103
2016;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;30038
2016;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;31908
2016;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;33849
2016;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;35759
2016;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;37945
2016;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;40082
2016;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;42566
2016;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;44796
2016;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;46953
2016;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;49186
2016;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;51363
2017;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;53707
2017;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;56059
2017;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;58752
2017;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;61172
2017;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;63825
2017;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;66668
2017;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;69362
2017;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;72542
2017;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;75431
2017;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;78281
2017;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;81213
2017;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;84111
2018;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;87626
2018;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;91166
2018;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;94590
2018;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;98387
2018;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;102435
2018;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;106256
2018;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;110358
2018;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;115073
2018;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;121495
2018;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;129604
2018;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;135516
2018;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;140697
2019;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;145993
2019;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;150490
2019;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;154347
2019;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;158533
2019;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;163436
2019;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;167540
2019;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;172323
2019;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;176607
2019;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;180588
2019;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;184989
2019;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;188647
2019;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;192584
2020;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;196457
2020;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;199945
2020;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;202812
2020;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;203934
2020;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;205722
2020;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;208167
2020;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;211913
2020;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;214965
2020;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;218996
2020;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;223424
2020;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;227771
2020;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;232962
2021;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;237404
2021;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;242672
2021;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;248423
2021;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;254489
2021;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;259584
2021;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;265732
2021;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;272544
2021;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;279671
2021;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;287401
2021;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;295562
2021;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;303683
2021;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;314354
2022;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;322032
2022;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;329662
2022;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;338273
2022;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;345535
2022;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;355082
2022;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;366496
2022;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;376413
2022;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;387282
2022;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;396318
2022;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;404325
2022;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;411602
2022;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;421961
2023;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;431739
2023;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;441257
2023;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;451584
2023;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;460160
2023;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;470273
2023;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;479428
2023;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;486884
2023;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;495228
2023;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;503022
2023;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;509169
2023;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;512538
2023;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;515104
2024;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;517955
2024;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;520747
2024;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;523319
2024;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;526123
2024;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;528612
2024;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;530923
2024;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;533255
2024;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;535738
2024;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;538103
2024;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;540704
2024;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;543741
2024;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;546388
2025;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;549254
2025;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;551903
2025;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;554548
2025;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;556973
2025;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;559622
2025;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;562243
2025;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;564951
2025;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;567623
2025;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;570322
2025;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;573044
2025;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;575576
2025;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;578250
2026;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;581095
2011;8;3;830016046;AVANTEL S A S;7
2011;9;3;830016046;AVANTEL S A S;19
2011;10;4;830016046;AVANTEL S A S;35
2011;11;4;830016046;AVANTEL S A S;85
2011;12;4;830016046;AVANTEL S A S;108
2012;1;1;830016046;AVANTEL S A S;108
2012;2;1;830016046;AVANTEL S A S;115
2012;3;1;830016046;AVANTEL S A S;135
2012;4;2;830016046;AVANTEL S A S;170
2012;5;2;830016046;AVANTEL S A S;174
2012;6;2;830016046;AVANTEL S A S;194
2012;7;3;830016046;AVANTEL S A S;249
2012;8;3;830016046;AVANTEL S A S;260
2012;9;3;830016046;AVANTEL S A S;316
2012;10;4;830016046;AVANTEL S A S;383
2012;11;4;830016046;AVANTEL S A S;407
2012;12;4;830016046;AVANTEL S A S;418
2013;1;1;830016046;AVANTEL S A S;445
2013;2;1;830016046;AVANTEL S A S;487
2013;3;1;830016046;AVANTEL S A S;516
2013;4;2;830016046;AVANTEL S A S;544
2013;5;2;830016046;AVANTEL S A S;558
2013;6;2;830016046;AVANTEL S A S;560
2013;7;3;830016046;AVANTEL S A S;570
2013;8;3;830016046;AVANTEL S A S;577
2013;9;3;830016046;AVANTEL S A S;600
2013;10;4;830016046;AVANTEL S A S;705
2013;11;4;830016046;AVANTEL S A S;742
2013;12;4;830016046;AVANTEL S A S;761
2014;1;1;830016046;AVANTEL S A S;773
2014;2;1;830016046;AVANTEL S A S;810
2014;3;1;830016046;AVANTEL S A S;887
2014;4;2;830016046;AVANTEL S A S;909
2014;5;2;830016046;AVANTEL S A S;921
2014;6;2;830016046;AVANTEL S A S;925
2014;7;3;830016046;AVANTEL S A S;974
2014;8;3;830016046;AVANTEL S A S;993
2014;9;3;830016046;AVANTEL S A S;1031
2014;10;4;830016046;AVANTEL S A S;1234
2014;11;4;830016046;AVANTEL S A S;1312
2014;12;4;830016046;AVANTEL S A S;2091
2015;1;1;830016046;AVANTEL S A S;2668
2015;2;1;830016046;AVANTEL S A S;3237
2015;3;1;830016046;AVANTEL S A S;5531
2015;4;2;830016046;AVANTEL S A S;7148
2015;5;2;830016046;AVANTEL S A S;9187
2015;6;2;830016046;AVANTEL S A S;11957
2015;7;3;830016046;AVANTEL S A S;17950
2015;8;3;830016046;AVANTEL S A S;23660
2015;9;3;830016046;AVANTEL S A S;35338
2015;10;4;830016046;AVANTEL S A S;48161
2015;11;4;830016046;AVANTEL S A S;57106
2015;12;4;830016046;AVANTEL S A S;67277
2016;1;1;830016046;AVANTEL S A S;77315
2016;2;1;830016046;AVANTEL S A S;90305
2016;3;1;830016046;AVANTEL S A S;99086
2016;4;2;830016046;AVANTEL S A S;107115
2016;5;2;830016046;AVANTEL S A S;116359
2016;6;2;830016046;AVANTEL S A S;125439
2016;7;3;830016046;AVANTEL S A S;134045
2016;8;3;830016046;AVANTEL S A S;143290
2016;9;3;830016046;AVANTEL S A S;154993
2016;10;4;830016046;AVANTEL S A S;165183
2016;11;4;830016046;AVANTEL S A S;176151
2016;12;4;830016046;AVANTEL S A S;191980
2017;1;1;830016046;AVANTEL S A S;203789
2017;2;1;830016046;AVANTEL S A S;215276
2017;3;1;830016046;AVANTEL S A S;226380
2017;4;2;830016046;AVANTEL S A S;239361
2017;5;2;830016046;AVANTEL S A S;250156
2017;6;2;830016046;AVANTEL S A S;262130
2017;7;3;830016046;AVANTEL S A S;273311
2017;8;3;830016046;AVANTEL S A S;288456
2017;9;3;830016046;AVANTEL S A S;304206
2017;10;4;830016046;AVANTEL S A S;320640
2017;11;4;830016046;AVANTEL S A S;336621
2017;12;4;830016046;AVANTEL S A S;349929
2018;1;1;830016046;AVANTEL S A S;367932
2018;2;1;830016046;AVANTEL S A S;394973
2018;3;1;830016046;AVANTEL S A S;420222
2018;4;2;830016046;AVANTEL S A S;445386
2018;5;2;830016046;AVANTEL S A S;470704
2018;6;2;830016046;AVANTEL S A S;492993
2018;7;3;830016046;AVANTEL S A S;518211
2018;8;3;830016046;AVANTEL S A S;552299
2018;9;3;830016046;AVANTEL S A S;586790
2018;10;4;830016046;AVANTEL S A S;622244
2018;11;4;830016046;AVANTEL S A S;651037
2018;12;4;830016046;AVANTEL S A S;675175
2019;1;1;830016046;AVANTEL S A S;698138
2019;2;1;830016046;AVANTEL S A S;720736
2019;3;1;830016046;AVANTEL S A S;745219
2019;4;2;830016046;AVANTEL S A S;771301
2019;5;2;830016046;AVANTEL S A S;799448
2019;6;2;830016046;AVANTEL S A S;821819
2019;7;3;830016046;AVANTEL S A S;850977
2019;8;3;830016046;AVANTEL S A S;875054
2019;9;3;830016046;AVANTEL S A S;904313
2019;10;4;830016046;AVANTEL S A S;956344
2019;11;4;830016046;AVANTEL S A S;989435
2019;12;4;830016046;AVANTEL S A S;1029450
2020;1;1;830016046;AVANTEL S A S;1063671
2020;2;1;830016046;AVANTEL S A S;1090967
2020;3;1;830016046;AVANTEL S A S;1113956
2020;4;2;830016046;AVANTEL S A S;1125957
2020;5;2;830016046;AVANTEL S A S;1140912
2020;6;2;830016046;AVANTEL S A S;1161420
2020;7;3;830016046;AVANTEL S A S;1185980
2020;8;3;830016046;AVANTEL S A S;1211838
2020;9;3;830016046;AVANTEL S A S;1258597
2020;10;4;830016046;AVANTEL S A S;1308162
2020;11;4;830016046;AVANTEL S A S;1369220
2020;12;4;830016046;AVANTEL S A S;1432340
2021;1;1;830016046;AVANTEL S A S;1486765
2021;2;1;830016046;AVANTEL S A S;1551368
2021;3;1;830016046;AVANTEL S A S;1632483
2021;4;2;830016046;AVANTEL S A S;1736266
2021;5;2;830016046;AVANTEL S A S;1830035
2021;6;2;830016046;AVANTEL S A S;1930899
2021;7;3;830016046;AVANTEL S A S;2016999
2021;8;3;830016046;AVANTEL S A S;2097920
2021;9;3;830016046;AVANTEL S A S;2189532
2021;10;4;830016046;AVANTEL S A S;2237357
2021;11;4;830016046;AVANTEL S A S;2268153
2021;12;4;830016046;AVANTEL S A S;2289845
2022;1;1;830016046;AVANTEL S A S;2304059
2022;2;1;830016046;AVANTEL S A S;2314672
2022;3;1;830016046;AVANTEL S A S;2325014
2022;4;2;830016046;AVANTEL S A S;2332423
2022;5;2;830016046;AVANTEL S A S;2338988
2022;6;2;830016046;AVANTEL S A S;2344150
2022;7;3;830016046;AVANTEL S A S;2347905
2022;8;3;830016046;AVANTEL S A S;2353141
2022;9;3;830016046;AVANTEL S A S;2365398
2022;10;4;830016046;AVANTEL S A S;2369339
2022;11;4;830016046;AVANTEL S A S;2369451
2022;12;4;830016046;AVANTEL S A S;2369461
2023;1;1;830016046;AVANTEL S A S;2369472
2023;2;1;830016046;AVANTEL S A S;2369585
2023;3;1;830016046;AVANTEL S A S;2369589
2023;4;2;830016046;AVANTEL S A S;2369609
2023;5;2;830016046;AVANTEL S A S;2369701
2023;6;2;830016046;AVANTEL S A S;2370394
2023;7;3;830016046;AVANTEL S A S;2370394
2023;8;3;830016046;AVANTEL S A S;2370394
2023;9;3;830016046;AVANTEL S A S;2370394
2023;10;4;830016046;AVANTEL S A S;2370394
2023;11;4;830016046;AVANTEL S A S;2370394
2023;12;4;830016046;AVANTEL S A S;2370394
2024;1;1;830016046;AVANTEL S A S;2370394
2024;2;1;830016046;AVANTEL S A S;2370394
2024;3;1;830016046;AVANTEL S A S;2370394
2024;4;2;830016046;AVANTEL S A S;2370394
2024;5;2;830016046;AVANTEL S A S;2370394
2024;6;2;830016046;AVANTEL S A S;2370394
2024;7;3;830016046;AVANTEL S A S;2370394
2024;8;3;830016046;AVANTEL S A S;2370394
2024;9;3;830016046;AVANTEL S A S;2370394
2024;10;4;830016046;AVANTEL S A S;2370394
2024;11;4;830016046;AVANTEL S A S;2370394
2024;12;4;830016046;AVANTEL S A S;2370394
2025;1;1;830016046;AVANTEL S A S;2370394
2025;2;1;830016046;AVANTEL S A S;2370394
2025;3;1;830016046;AVANTEL S A S;2370394
2025;4;2;830016046;AVANTEL S A S;2370394
2025;5;2;830016046;AVANTEL S A S;2370394
2025;6;2;830016046;AVANTEL S A S;2370394
2025;7;3;830016046;AVANTEL S A S;2370394
2025;8;3;830016046;AVANTEL S A S;2370394
2025;9;3;830016046;AVANTEL S A S;2370394
2025;10;4;830016046;AVANTEL S A S;2370394
2025;11;4;830016046;AVANTEL S A S;2370394
2025;12;4;830016046;AVANTEL S A S;2370394
2026;1;1;830016046;AVANTEL S A S;2370394
2011;8;3;830114921;COLOMBIA MÓVIL S.A ESP;3150
2011;9;3;830114921;COLOMBIA MÓVIL S.A ESP;7177
2011;10;4;830114921;COLOMBIA MÓVIL S.A ESP;10096
2011;11;4;830114921;COLOMBIA MÓVIL S.A ESP;13059
2011;12;4;830114921;COLOMBIA MÓVIL S.A ESP;19132
2012;1;1;830114921;COLOMBIA MÓVIL S.A ESP;24429
2012;2;1;830114921;COLOMBIA MÓVIL S.A ESP;29654
2012;3;1;830114921;COLOMBIA MÓVIL S.A ESP;36523
2012;4;2;830114921;COLOMBIA MÓVIL S.A ESP;42448
2012;5;2;830114921;COLOMBIA MÓVIL S.A ESP;50313
2012;6;2;830114921;COLOMBIA MÓVIL S.A ESP;58708
2012;7;3;830114921;COLOMBIA MÓVIL S.A ESP;67787
2012;8;3;830114921;COLOMBIA MÓVIL S.A ESP;77727
2012;9;3;830114921;COLOMBIA MÓVIL S.A ESP;87615
2012;10;4;830114921;COLOMBIA MÓVIL S.A ESP;98591
2012;11;4;830114921;COLOMBIA MÓVIL S.A ESP;111203
2012;12;4;830114921;COLOMBIA MÓVIL S.A ESP;121407
2013;1;1;830114921;COLOMBIA MÓVIL S.A ESP;133467
2013;2;1;830114921;COLOMBIA MÓVIL S.A ESP;143131
2013;3;1;830114921;COLOMBIA MÓVIL S.A ESP;151567
2013;4;2;830114921;COLOMBIA MÓVIL S.A ESP;165409
2013;5;2;830114921;COLOMBIA MÓVIL S.A ESP;178991
2013;6;2;830114921;COLOMBIA MÓVIL S.A ESP;192795
2013;7;3;830114921;COLOMBIA MÓVIL S.A ESP;207412
2013;8;3;830114921;COLOMBIA MÓVIL S.A ESP;221263
2013;9;3;830114921;COLOMBIA MÓVIL S.A ESP;234727
2013;10;4;830114921;COLOMBIA MÓVIL S.A ESP;250407
2013;11;4;830114921;COLOMBIA MÓVIL S.A ESP;267340
2013;12;4;830114921;COLOMBIA MÓVIL S.A ESP;283890
2014;1;1;830114921;COLOMBIA MÓVIL S.A ESP;301719
2014;2;1;830114921;COLOMBIA MÓVIL S.A ESP;318208
2014;3;1;830114921;COLOMBIA MÓVIL S.A ESP;334916
2014;4;2;830114921;COLOMBIA MÓVIL S.A ESP;355183
2014;5;2;830114921;COLOMBIA MÓVIL S.A ESP;376385
2014;6;2;830114921;COLOMBIA MÓVIL S.A ESP;398802
