ANNO;MES;TRIMESTRE;ID_EMPRESA;EMPRESA;OPERACIONES_PORTACION
2011;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;195
2013;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;638
2013;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;904
2013;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;1226
2013;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;1716
2013;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;2828
2013;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;4091
2013;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;6464
2014;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;10288
2014;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;16039
2014;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;19776
2014;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;23794
2014;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;26460
2014;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;28226
2014;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;29858
2014;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;31864
2014;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;33946
2014;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;36126
2014;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;37523
2014;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;39499
2015;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;41685
2015;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;44633
2015;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;46240
2015;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;49776
2015;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;51765
2015;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;54131
2015;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;57047
2015;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;59510
2015;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;61535
2015;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;63244
2015;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;64953
2015;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;67439
2016;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;69509
2016;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;71710
2016;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;74334
2016;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;76505
2016;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;78462
2016;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;80739
2016;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;81959
2016;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;83783
2016;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;86184
2016;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;88765
2016;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;90965
2016;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;93203
2017;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;95398
2017;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;98021
2017;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;100449
2017;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;102450
2017;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;104521
2017;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;106831
2017;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;108561
2017;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;109967
2017;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;111178
2017;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;112759
2017;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;114234
2017;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;115615
2018;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;117419
2018;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;118967
2018;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;120328
2018;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;121612
2018;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;123175
2018;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;124307
2018;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;125579
2018;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;127053
2018;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;127731
2018;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;128549
2018;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;129226
2018;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;129769
2019;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;130361
2019;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;130954
2019;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;131778
2019;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;132515
2019;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;133153
2019;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;133674
2019;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;134413
2019;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;134973
2019;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;135515
2019;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;136307
2019;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;136966
2019;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;138260
2020;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;139449
2020;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;140830
2020;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;142321
2020;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;142956
2020;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;143845
2020;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;144739
2020;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;145817
2020;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;146575
2020;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;147588
2020;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;148876
2020;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;150030
2020;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;151083
2021;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;152051
2021;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;153305
2021;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;154620
2021;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;155394
2021;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;156200
2021;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;157135
2021;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;158107
2021;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;159099
2021;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;160137
2021;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;161025
2021;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;161742
2021;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;162560
2022;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;163376
2022;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;164471
2022;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;165698
2022;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;166676
2022;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;167698
2022;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;168721
2022;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;169669
2022;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;170710
2022;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;171699
2022;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;172718
2022;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;173695
2022;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;174617
2023;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;175751
2023;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;176905
2023;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;178233
2023;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;179294
2023;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;180550
2023;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;181756
2023;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;183062
2023;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;184439
2023;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;185819
2023;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;187108
2023;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;188341
2023;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;189775
2024;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;191382
2024;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;193019
2024;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;194532
2024;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;196391
2024;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;198263
2024;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;200129
2024;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;202123
2024;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;203963
2024;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;205722
2024;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;207481
2024;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;208976
2024;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;210604
2025;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;212723
2025;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;215599
2025;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;217821
2025;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;219741
2025;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;221927
2025;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;224119
2025;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;226690
2025;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;229124
2025;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;231375
2025;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;233634
2025;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;235764
2025;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;237925
2026;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;240630
2011;8;3;830016046;AVANTEL S A S;2
2011;9;3;830016046;AVANTEL S A S;4
2011;10;4;830016046;AVANTEL S A S;7
2011;11;4;830016046;AVANTEL S A S;8
2011;12;4;830016046;AVANTEL S A S;14
2012;1;1;830016046;AVANTEL S A S;45
2012;2;1;830016046;AVANTEL S A S;54
2012;3;1;830016046;AVANTEL S A S;66
2012;4;2;830016046;AVANTEL S A S;68
2012;5;2;830016046;AVANTEL S A S;80
2012;6;2;830016046;AVANTEL S A S;90
2012;7;3;830016046;AVANTEL S A S;105
2012;8;3;830016046;AVANTEL S A S;114
2012;9;3;830016046;AVANTEL S A S;120
2012;10;4;830016046;AVANTEL S A S;151
2012;11;4;830016046;AVANTEL S A S;208
2012;12;4;830016046;AVANTEL S A S;230
2013;1;1;830016046;AVANTEL S A S;261
2013;2;1;830016046;AVANTEL S A S;280
2013;3;1;830016046;AVANTEL S A S;298
2013;4;2;830016046;AVANTEL S A S;299
2013;5;2;830016046;AVANTEL S A S;301
2013;6;2;830016046;AVANTEL S A S;319
2013;7;3;830016046;AVANTEL S A S;333
2013;8;3;830016046;AVANTEL S A S;345
2013;9;3;830016046;AVANTEL S A S;361
2013;10;4;830016046;AVANTEL S A S;378
2013;11;4;830016046;AVANTEL S A S;413
2013;12;4;830016046;AVANTEL S A S;423
2014;1;1;830016046;AVANTEL S A S;442
2014;2;1;830016046;AVANTEL S A S;457
2014;3;1;830016046;AVANTEL S A S;459
2014;4;2;830016046;AVANTEL S A S;464
2014;5;2;830016046;AVANTEL S A S;625
2014;6;2;830016046;AVANTEL S A S;632
2014;7;3;830016046;AVANTEL S A S;640
2014;8;3;830016046;AVANTEL S A S;700
2014;9;3;830016046;AVANTEL S A S;970
2014;10;4;830016046;AVANTEL S A S;2036
2014;11;4;830016046;AVANTEL S A S;4007
2014;12;4;830016046;AVANTEL S A S;8599
2015;1;1;830016046;AVANTEL S A S;12271
2015;2;1;830016046;AVANTEL S A S;19506
2015;3;1;830016046;AVANTEL S A S;26724
2015;4;2;830016046;AVANTEL S A S;32410
2015;5;2;830016046;AVANTEL S A S;39965
2015;6;2;830016046;AVANTEL S A S;49769
2015;7;3;830016046;AVANTEL S A S;60863
2015;8;3;830016046;AVANTEL S A S;72371
2015;9;3;830016046;AVANTEL S A S;84476
2015;10;4;830016046;AVANTEL S A S;96207
2015;11;4;830016046;AVANTEL S A S;108720
2015;12;4;830016046;AVANTEL S A S;123751
2016;1;1;830016046;AVANTEL S A S;134900
2016;2;1;830016046;AVANTEL S A S;148382
2016;3;1;830016046;AVANTEL S A S;162318
2016;4;2;830016046;AVANTEL S A S;179194
2016;5;2;830016046;AVANTEL S A S;196031
2016;6;2;830016046;AVANTEL S A S;213489
2016;7;3;830016046;AVANTEL S A S;231182
2016;8;3;830016046;AVANTEL S A S;250123
2016;9;3;830016046;AVANTEL S A S;271853
2016;10;4;830016046;AVANTEL S A S;288648
2016;11;4;830016046;AVANTEL S A S;299337
2016;12;4;830016046;AVANTEL S A S;310082
2017;1;1;830016046;AVANTEL S A S;320989
2017;2;1;830016046;AVANTEL S A S;333137
2017;3;1;830016046;AVANTEL S A S;348507
2017;4;2;830016046;AVANTEL S A S;362957
2017;5;2;830016046;AVANTEL S A S;381748
2017;6;2;830016046;AVANTEL S A S;404220
2017;7;3;830016046;AVANTEL S A S;429191
2017;8;3;830016046;AVANTEL S A S;458617
2017;9;3;830016046;AVANTEL S A S;487537
2017;10;4;830016046;AVANTEL S A S;516801
2017;11;4;830016046;AVANTEL S A S;547137
2017;12;4;830016046;AVANTEL S A S;582178
2018;1;1;830016046;AVANTEL S A S;622007
2018;2;1;830016046;AVANTEL S A S;663334
2018;3;1;830016046;AVANTEL S A S;704770
2018;4;2;830016046;AVANTEL S A S;746033
2018;5;2;830016046;AVANTEL S A S;786559
2018;6;2;830016046;AVANTEL S A S;822645
2018;7;3;830016046;AVANTEL S A S;857899
2018;8;3;830016046;AVANTEL S A S;896376
2018;9;3;830016046;AVANTEL S A S;928682
2018;10;4;830016046;AVANTEL S A S;965289
2018;11;4;830016046;AVANTEL S A S;999618
2018;12;4;830016046;AVANTEL S A S;1024813
2019;1;1;830016046;AVANTEL S A S;1051321
2019;2;1;830016046;AVANTEL S A S;1080660
2019;3;1;830016046;AVANTEL S A S;1110053
2019;4;2;830016046;AVANTEL S A S;1135305
2019;5;2;830016046;AVANTEL S A S;1160631
2019;6;2;830016046;AVANTEL S A S;1178194
2019;7;3;830016046;AVANTEL S A S;1200437
2019;8;3;830016046;AVANTEL S A S;1221329
2019;9;3;830016046;AVANTEL S A S;1242186
2019;10;4;830016046;AVANTEL S A S;1261931
2019;11;4;830016046;AVANTEL S A S;1277023
2019;12;4;830016046;AVANTEL S A S;1287032
2020;1;1;830016046;AVANTEL S A S;1297656
2020;2;1;830016046;AVANTEL S A S;1308689
2020;3;1;830016046;AVANTEL S A S;1319001
2020;4;2;830016046;AVANTEL S A S;1324586
2020;5;2;830016046;AVANTEL S A S;1330745
2020;6;2;830016046;AVANTEL S A S;1336951
2020;7;3;830016046;AVANTEL S A S;1346570
2020;8;3;830016046;AVANTEL S A S;1354984
2020;9;3;830016046;AVANTEL S A S;1367074
2020;10;4;830016046;AVANTEL S A S;1382468
2020;11;4;830016046;AVANTEL S A S;1407007
2020;12;4;830016046;AVANTEL S A S;1440716
2021;1;1;830016046;AVANTEL S A S;1466039
2021;2;1;830016046;AVANTEL S A S;1492961
2021;3;1;830016046;AVANTEL S A S;1518249
2021;4;2;830016046;AVANTEL S A S;1520097
2021;5;2;830016046;AVANTEL S A S;1520347
2021;6;2;830016046;AVANTEL S A S;1520553
2021;7;3;830016046;AVANTEL S A S;1520735
2021;8;3;830016046;AVANTEL S A S;1520802
2021;9;3;830016046;AVANTEL S A S;1520823
2021;10;4;830016046;AVANTEL S A S;1520841
2021;11;4;830016046;AVANTEL S A S;1520863
2021;12;4;830016046;AVANTEL S A S;1520879
2022;1;1;830016046;AVANTEL S A S;1520886
2022;2;1;830016046;AVANTEL S A S;1520889
2022;3;1;830016046;AVANTEL S A S;1520891
2022;4;2;830016046;AVANTEL S A S;1520894
2022;5;2;830016046;AVANTEL S A S;1520895
2022;6;2;830016046;AVANTEL S A S;1520896
2022;7;3;830016046;AVANTEL S A S;1520896
2022;8;3;830016046;AVANTEL S A S;1520898
2022;9;3;830016046;AVANTEL S A S;1520898
2022;10;4;830016046;AVANTEL S A S;1520898
2022;11;4;830016046;AVANTEL S A S;1520899
2022;12;4;830016046;AVANTEL S A S;1520899
2023;1;1;830016046;AVANTEL S A S;1520899
2023;2;1;830016046;AVANTEL S A S;1520899
2023;3;1;830016046;AVANTEL S A S;1520899
2023;4;2;830016046;AVANTEL S A S;1520899
2023;5;2;830016046;AVANTEL S A S;1520899
2023;6;2;830016046;AVANTEL S A S;1520899
2023;7;3;830016046;AVANTEL S A S;1520899
2023;8;3;830016046;AVANTEL S A S;1520899
2023;9;3;830016046;AVANTEL S A S;1520899
2023;10;4;830016046;AVANTEL S A S;1520899
2023;11;4;830016046;AVANTEL S A S;1520899
2023;12;4;830016046;AVANTEL S A S;1520899
2024;1;1;830016046;AVANTEL S A S;1520899
2024;2;1;830016046;AVANTEL S A S;1520899
2024;3;1;830016046;AVANTEL S A S;1520899
2024;4;2;830016046;AVANTEL S A S;1520899
2024;5;2;830016046;AVANTEL S A S;1520899
2024;6;2;830016046;AVANTEL S A S;1520899
2024;7;3;830016046;AVANTEL S A S;1520899
2024;8;3;830016046;AVANTEL S A S;1520899
2024;9;3;830016046;AVANTEL S A S;1520899
2024;10;4;830016046;AVANTEL S A S;1520899
2024;11;4;830016046;AVANTEL S A S;1520899
2024;12;4;830016046;AVANTEL S A S;1520899
2025;1;1;830016046;AVANTEL S A S;1520899
2025;2;1;830016046;AVANTEL S A S;1520899
2025;3;1;830016046;AVANTEL S A S;1520899
2025;4;2;830016046;AVANTEL S A S;1520899
2025;5;2;830016046;AVANTEL S A S;1520899
2025;6;2;830016046;AVANTEL S A S;1520899
2025;7;3;830016046;AVANTEL S A S;1520899
2025;8;3;830016046;AVANTEL S A S;1520899
2025;9;3;830016046;AVANTEL S A S;1520899
2025;10;4;830016046;AVANTEL S A S;1520899
2025;11;4;830016046;AVANTEL S A S;1520899
2025;12;4;830016046;AVANTEL S A S;1520899
2026;1;1;830016046;AVANTEL S A S;1520899
2011;8;3;830114921;COLOMBIA MÓVIL S.A ESP;12618
2011;9;3;830114921;COLOMBIA MÓVIL S.A ESP;21344
2011;10;4;830114921;COLOMBIA MÓVIL S.A ESP;29138
2011;11;4;830114921;COLOMBIA MÓVIL S.A ESP;38789
2011;12;4;830114921;COLOMBIA MÓVIL S.A ESP;52419
2012;1;1;830114921;COLOMBIA MÓVIL S.A ESP;65868
2012;2;1;830114921;COLOMBIA MÓVIL S.A ESP;77698
2012;3;1;830114921;COLOMBIA MÓVIL S.A ESP;91055
2012;4;2;830114921;COLOMBIA MÓVIL S.A ESP;101955
2012;5;2;830114921;COLOMBIA MÓVIL S.A ESP;112779
2012;6;2;830114921;COLOMBIA MÓVIL S.A ESP;123766
2012;7;3;830114921;COLOMBIA MÓVIL S.A ESP;137755
2012;8;3;830114921;COLOMBIA MÓVIL S.A ESP;151025
2012;9;3;830114921;COLOMBIA MÓVIL S.A ESP;166411
2012;10;4;830114921;COLOMBIA MÓVIL S.A ESP;187237
2012;11;4;830114921;COLOMBIA MÓVIL S.A ESP;198778
2012;12;4;830114921;COLOMBIA MÓVIL S.A ESP;212139
2013;1;1;830114921;COLOMBIA MÓVIL S.A ESP;228272
2013;2;1;830114921;COLOMBIA MÓVIL S.A ESP;243449
2013;3;1;830114921;COLOMBIA MÓVIL S.A ESP;258029
2013;4;2;830114921;COLOMBIA MÓVIL S.A ESP;278270
2013;5;2;830114921;COLOMBIA MÓVIL S.A ESP;300208
2013;6;2;830114921;COLOMBIA MÓVIL S.A ESP;321845
2013;7;3;830114921;COLOMBIA MÓVIL S.A ESP;348848
2013;8;3;830114921;COLOMBIA MÓVIL S.A ESP;375208
2013;9;3;830114921;COLOMBIA MÓVIL S.A ESP;403096
2013;10;4;830114921;COLOMBIA MÓVIL S.A ESP;435777
2013;11;4;830114921;COLOMBIA MÓVIL S.A ESP;459966
2013;12;4;830114921;COLOMBIA MÓVIL S.A ESP;485474
2014;1;1;830114921;COLOMBIA MÓVIL S.A ESP;515339
2014;2;1;830114921;COLOMBIA MÓVIL S.A ESP;548672
2014;3;1;830114921;COLOMBIA MÓVIL S.A ESP;581180
2014;4;2;830114921;COLOMBIA MÓVIL S.A ESP;622144
2014;5;2;830114921;COLOMBIA MÓVIL S.A ESP;670679
2014;6;2;830114921;COLOMBIA MÓVIL S.A ESP;706711
