ANNO;MES;TRIMESTRE;ID_EMPRESA;EMPRESA;PNM_RECEPTOR_NETO
2011;8;3;800153993;COMUNICACION CELULAR S A COMCEL S A;-10028
2011;8;3;830016046;AVANTEL S A S;-5
2011;8;3;830114921;COLOMBIA MÓVIL S.A ESP;9468
2011;8;3;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-1788
2011;8;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;0
2011;8;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;0
2011;8;3;900367669;UFF MOVIL SAS;2353
2011;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;8;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2011;8;3;900530819;VILACOM MOBILE SAS;0
2011;8;3;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2011;8;3;900848456;EZTALK MOBILE S.A.S.;0
2011;8;3;900973532;SUMA MOVIL S.A.S;0
2011;8;3;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2011;8;3;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2011;9;3;800153993;COMUNICACION CELULAR S A COMCEL S A;-14733
2011;9;3;830016046;AVANTEL S A S;-15
2011;9;3;830114921;COLOMBIA MÓVIL S.A ESP;14167
2011;9;3;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-3206
2011;9;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;0
2011;9;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;80
2011;9;3;900367669;UFF MOVIL SAS;3707
2011;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;9;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2011;9;3;900530819;VILACOM MOBILE SAS;0
2011;9;3;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2011;9;3;900848456;EZTALK MOBILE S.A.S.;0
2011;9;3;900973532;SUMA MOVIL S.A.S;0
2011;9;3;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2011;9;3;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2011;10;4;800153993;COMUNICACION CELULAR S A COMCEL S A;-21615
2011;10;4;830016046;AVANTEL S A S;-28
2011;10;4;830114921;COLOMBIA MÓVIL S.A ESP;19042
2011;10;4;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-2355
2011;10;4;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;0
2011;10;4;900092385;UNE EPM TELECOMUNICACIONES S.A.;270
2011;10;4;900367669;UFF MOVIL SAS;4686
2011;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;10;4;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2011;10;4;900530819;VILACOM MOBILE SAS;0
2011;10;4;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2011;10;4;900848456;EZTALK MOBILE S.A.S.;0
2011;10;4;900973532;SUMA MOVIL S.A.S;0
2011;10;4;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2011;10;4;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2011;11;4;800153993;COMUNICACION CELULAR S A COMCEL S A;-27586
2011;11;4;830016046;AVANTEL S A S;-77
2011;11;4;830114921;COLOMBIA MÓVIL S.A ESP;25730
2011;11;4;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-3920
2011;11;4;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;0
2011;11;4;900092385;UNE EPM TELECOMUNICACIONES S.A.;391
2011;11;4;900367669;UFF MOVIL SAS;5462
2011;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;11;4;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2011;11;4;900530819;VILACOM MOBILE SAS;0
2011;11;4;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2011;11;4;900848456;EZTALK MOBILE S.A.S.;0
2011;11;4;900973532;SUMA MOVIL S.A.S;0
2011;11;4;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2011;11;4;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2011;12;4;800153993;COMUNICACION CELULAR S A COMCEL S A;-22072
2011;12;4;830016046;AVANTEL S A S;-94
2011;12;4;830114921;COLOMBIA MÓVIL S.A ESP;33287
2011;12;4;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-17644
2011;12;4;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;0
2011;12;4;900092385;UNE EPM TELECOMUNICACIONES S.A.;445
2011;12;4;900367669;UFF MOVIL SAS;6078
2011;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2011;12;4;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2011;12;4;900530819;VILACOM MOBILE SAS;0
2011;12;4;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2011;12;4;900848456;EZTALK MOBILE S.A.S.;0
2011;12;4;900973532;SUMA MOVIL S.A.S;0
2011;12;4;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2011;12;4;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;-13495
2012;1;1;830016046;AVANTEL S A S;-63
2012;1;1;830114921;COLOMBIA MÓVIL S.A ESP;41439
2012;1;1;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-34783
2012;1;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;0
2012;1;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;453
2012;1;1;900367669;UFF MOVIL SAS;6449
2012;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;1;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;1;1;900530819;VILACOM MOBILE SAS;0
2012;1;1;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;1;1;900848456;EZTALK MOBILE S.A.S.;0
2012;1;1;900973532;SUMA MOVIL S.A.S;0
2012;1;1;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;1;1;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;13195
2012;2;1;830016046;AVANTEL S A S;-61
2012;2;1;830114921;COLOMBIA MÓVIL S.A ESP;48044
2012;2;1;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-68652
2012;2;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;0
2012;2;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;433
2012;2;1;900367669;UFF MOVIL SAS;7041
2012;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;2;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;2;1;900530819;VILACOM MOBILE SAS;0
2012;2;1;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;2;1;900848456;EZTALK MOBILE S.A.S.;0
2012;2;1;900973532;SUMA MOVIL S.A.S;0
2012;2;1;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;2;1;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;3;1;800153993;COMUNICACION CELULAR S A COMCEL S A;45319
2012;3;1;830016046;AVANTEL S A S;-69
2012;3;1;830114921;COLOMBIA MÓVIL S.A ESP;54532
2012;3;1;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-107803
2012;3;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;1
2012;3;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;383
2012;3;1;900367669;UFF MOVIL SAS;7637
2012;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;3;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;3;1;900530819;VILACOM MOBILE SAS;0
2012;3;1;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;3;1;900848456;EZTALK MOBILE S.A.S.;0
2012;3;1;900973532;SUMA MOVIL S.A.S;0
2012;3;1;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;3;1;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;4;2;800153993;COMUNICACION CELULAR S A COMCEL S A;56126
2012;4;2;830016046;AVANTEL S A S;-102
2012;4;2;830114921;COLOMBIA MÓVIL S.A ESP;59507
2012;4;2;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-124102
2012;4;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;9
2012;4;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;352
2012;4;2;900367669;UFF MOVIL SAS;8210
2012;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;4;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;4;2;900530819;VILACOM MOBILE SAS;0
2012;4;2;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;4;2;900848456;EZTALK MOBILE S.A.S.;0
2012;4;2;900973532;SUMA MOVIL S.A.S;0
2012;4;2;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;4;2;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;5;2;800153993;COMUNICACION CELULAR S A COMCEL S A;69860
2012;5;2;830016046;AVANTEL S A S;-94
2012;5;2;830114921;COLOMBIA MÓVIL S.A ESP;62466
2012;5;2;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-141209
2012;5;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;71
2012;5;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;321
2012;5;2;900367669;UFF MOVIL SAS;8585
2012;5;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;5;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;5;2;900530819;VILACOM MOBILE SAS;0
2012;5;2;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;5;2;900848456;EZTALK MOBILE S.A.S.;0
2012;5;2;900973532;SUMA MOVIL S.A.S;0
2012;5;2;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;5;2;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;6;2;800153993;COMUNICACION CELULAR S A COMCEL S A;85426
2012;6;2;830016046;AVANTEL S A S;-104
2012;6;2;830114921;COLOMBIA MÓVIL S.A ESP;65058
2012;6;2;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-159760
2012;6;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;199
2012;6;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;315
2012;6;2;900367669;UFF MOVIL SAS;8866
2012;6;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;6;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;6;2;900530819;VILACOM MOBILE SAS;0
2012;6;2;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;6;2;900848456;EZTALK MOBILE S.A.S.;0
2012;6;2;900973532;SUMA MOVIL S.A.S;0
2012;6;2;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;6;2;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;7;3;800153993;COMUNICACION CELULAR S A COMCEL S A;107599
2012;7;3;830016046;AVANTEL S A S;-144
2012;7;3;830114921;COLOMBIA MÓVIL S.A ESP;69968
2012;7;3;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-187376
2012;7;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;357
2012;7;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;323
2012;7;3;900367669;UFF MOVIL SAS;9273
2012;7;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;7;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;7;3;900530819;VILACOM MOBILE SAS;0
2012;7;3;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;7;3;900848456;EZTALK MOBILE S.A.S.;0
2012;7;3;900973532;SUMA MOVIL S.A.S;0
2012;7;3;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;7;3;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;8;3;800153993;COMUNICACION CELULAR S A COMCEL S A;132756
2012;8;3;830016046;AVANTEL S A S;-146
2012;8;3;830114921;COLOMBIA MÓVIL S.A ESP;73298
2012;8;3;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-216322
2012;8;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;522
2012;8;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;275
2012;8;3;900367669;UFF MOVIL SAS;9617
2012;8;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;8;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;8;3;900530819;VILACOM MOBILE SAS;0
2012;8;3;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;8;3;900848456;EZTALK MOBILE S.A.S.;0
2012;8;3;900973532;SUMA MOVIL S.A.S;0
2012;8;3;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;8;3;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;9;3;800153993;COMUNICACION CELULAR S A COMCEL S A;153018
2012;9;3;830016046;AVANTEL S A S;-196
2012;9;3;830114921;COLOMBIA MÓVIL S.A ESP;78796
2012;9;3;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-242169
2012;9;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;619
2012;9;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;199
2012;9;3;900367669;UFF MOVIL SAS;9733
2012;9;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;9;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;9;3;900530819;VILACOM MOBILE SAS;0
2012;9;3;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;9;3;900848456;EZTALK MOBILE S.A.S.;0
2012;9;3;900973532;SUMA MOVIL S.A.S;0
2012;9;3;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;9;3;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;10;4;800153993;COMUNICACION CELULAR S A COMCEL S A;172616
2012;10;4;830016046;AVANTEL S A S;-232
2012;10;4;830114921;COLOMBIA MÓVIL S.A ESP;88646
2012;10;4;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-271623
2012;10;4;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;698
2012;10;4;900092385;UNE EPM TELECOMUNICACIONES S.A.;138
2012;10;4;900367669;UFF MOVIL SAS;9757
2012;10;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;10;4;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;10;4;900530819;VILACOM MOBILE SAS;0
2012;10;4;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;10;4;900848456;EZTALK MOBILE S.A.S.;0
2012;10;4;900973532;SUMA MOVIL S.A.S;0
2012;10;4;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;10;4;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;11;4;800153993;COMUNICACION CELULAR S A COMCEL S A;204361
2012;11;4;830016046;AVANTEL S A S;-199
2012;11;4;830114921;COLOMBIA MÓVIL S.A ESP;87575
2012;11;4;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-302511
2012;11;4;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;709
2012;11;4;900092385;UNE EPM TELECOMUNICACIONES S.A.;125
2012;11;4;900367669;UFF MOVIL SAS;9940
2012;11;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;11;4;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;11;4;900530819;VILACOM MOBILE SAS;0
2012;11;4;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;11;4;900848456;EZTALK MOBILE S.A.S.;0
2012;11;4;900973532;SUMA MOVIL S.A.S;0
2012;11;4;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;11;4;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2012;12;4;800153993;COMUNICACION CELULAR S A COMCEL S A;230546
2012;12;4;830016046;AVANTEL S A S;-188
2012;12;4;830114921;COLOMBIA MÓVIL S.A ESP;90732
2012;12;4;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-331986
2012;12;4;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;731
2012;12;4;900092385;UNE EPM TELECOMUNICACIONES S.A.;65
2012;12;4;900367669;UFF MOVIL SAS;10100
2012;12;4;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2012;12;4;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2012;12;4;900530819;VILACOM MOBILE SAS;0
2012;12;4;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2012;12;4;900848456;EZTALK MOBILE S.A.S.;0
2012;12;4;900973532;SUMA MOVIL S.A.S;0
2012;12;4;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2012;12;4;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2013;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;260247
2013;1;1;830016046;AVANTEL S A S;-184
2013;1;1;830114921;COLOMBIA MÓVIL S.A ESP;94805
2013;1;1;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-365919
2013;1;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;729
2013;1;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;25
2013;1;1;900367669;UFF MOVIL SAS;10297
2013;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;1;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0
2013;1;1;900530819;VILACOM MOBILE SAS;0
2013;1;1;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2013;1;1;900848456;EZTALK MOBILE S.A.S.;0
2013;1;1;900973532;SUMA MOVIL S.A.S;0
2013;1;1;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2013;1;1;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2013;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;280860
2013;2;1;830016046;AVANTEL S A S;-207
2013;2;1;830114921;COLOMBIA MÓVIL S.A ESP;100318
2013;2;1;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-392308
2013;2;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;747
2013;2;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;-29
2013;2;1;900367669;UFF MOVIL SAS;10527
2013;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;2;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;92
2013;2;1;900530819;VILACOM MOBILE SAS;0
2013;2;1;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2013;2;1;900848456;EZTALK MOBILE S.A.S.;0
2013;2;1;900973532;SUMA MOVIL S.A.S;0
2013;2;1;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2013;2;1;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2013;3;1;800153993;COMUNICACION CELULAR S A COMCEL S A;298842
2013;3;1;830016046;AVANTEL S A S;-218
2013;3;1;830114921;COLOMBIA MÓVIL S.A ESP;106462
2013;3;1;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-417404
2013;3;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;739
2013;3;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;-59
2013;3;1;900367669;UFF MOVIL SAS;11034
2013;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;3;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;604
2013;3;1;900530819;VILACOM MOBILE SAS;0
2013;3;1;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2013;3;1;900848456;EZTALK MOBILE S.A.S.;0
2013;3;1;900973532;SUMA MOVIL S.A.S;0
2013;3;1;901066516;DIMECOM COMUNICACIONES S.A.S.;0
2013;3;1;901162121;LOGISTICA FLASH COLOMBIA S.A.S.;0
2013;4;2;800153993;COMUNICACION CELULAR S A COMCEL S A;325661
2013;4;2;830016046;AVANTEL S A S;-245
2013;4;2;830114921;COLOMBIA MÓVIL S.A ESP;112861
2013;4;2;830122566;COLOMBIA TELECOMUNICACIONES S A E S P;-452753
2013;4;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA SA ESP;738
2013;4;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;-95
2013;4;2;900367669;UFF MOVIL SAS;11618
2013;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;0
2013;4;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;2215
2013;4;2;900530819;VILACOM MOBILE SAS;0
2013;4;2;900688637;KIERO IP TELECOMUNICACIONES SAS;0
2013;4;2;900848456;EZTALK MOBILE S.A.S.;0
2013;4;2;900973532;SUMA MOVIL S.A.S;0
2013;4;2;901066516;DIMECOM COMUNICACIONES S.A.S.;0
